Program Time [s],data 0,data 1
225.656,2.26108e+06,2.54432e+06
225.66,2.26109e+06,2.54438e+06
225.662,2.26109e+06,2.5444e+06
225.663,2.26109e+06,2.54442e+06
225.666,2.26109e+06,2.54444e+06
225.668,2.26109e+06,2.54444e+06
225.669,2.26108e+06,2.54443e+06
225.672,2.26108e+06,2.54444e+06
225.674,2.26109e+06,2.54446e+06
225.676,2.26111e+06,2.54448e+06
225.678,2.26112e+06,2.54451e+06
225.68,2.26112e+06,2.54452e+06
225.682,2.26112e+06,2.54455e+06
225.702,2.26113e+06,2.54457e+06
225.722,2.26113e+06,2.5446e+06
225.742,2.26113e+06,2.54461e+06
225.762,2.26115e+06,2.54464e+06
225.782,2.26115e+06,2.54466e+06
225.802,2.26116e+06,2.54466e+06
225.822,2.26115e+06,2.54468e+06
225.842,2.26118e+06,2.54469e+06
225.863,2.26119e+06,2.54475e+06
225.883,2.2612e+06,2.54478e+06
225.903,2.2612e+06,2.5448e+06
225.923,2.2612e+06,2.54479e+06
225.943,2.26121e+06,2.5448e+06
225.963,2.26121e+06,2.54483e+06
225.983,2.26122e+06,2.54482e+06
226.003,2.26122e+06,2.54484e+06
226.023,2.26124e+06,2.54484e+06
226.044,2.26124e+06,2.54484e+06
226.064,2.26124e+06,2.54482e+06
226.084,2.26123e+06,2.54476e+06
226.104,2.2612e+06,2.54468e+06
226.124,2.26121e+06,2.5446e+06
226.145,2.26121e+06,2.54459e+06
226.164,2.26123e+06,2.54457e+06
226.184,2.26123e+06,2.5446e+06
226.204,2.26126e+06,2.54462e+06
226.225,2.26127e+06,2.54466e+06
226.245,2.26128e+06,2.54468e+06
226.265,2.2613e+06,2.54471e+06
226.285,2.2613e+06,2.54474e+06
226.305,2.26132e+06,2.54474e+06
226.325,2.26131e+06,2.54474e+06
226.345,2.26132e+06,2.54475e+06
226.365,2.26132e+06,2.54475e+06
226.385,2.2613e+06,2.54474e+06
226.405,2.26131e+06,2.54472e+06
226.426,2.26129e+06,2.54472e+06
226.446,2.26129e+06,2.54472e+06
226.465,2.26129e+06,2.54473e+06
226.487,2.2613e+06,2.54473e+06
226.506,2.2613e+06,2.54474e+06
226.526,2.2613e+06,2.54474e+06
226.546,2.26132e+06,2.54475e+06
226.566,2.26133e+06,2.54478e+06
226.586,2.26136e+06,2.54478e+06
226.607,2.26135e+06,2.54479e+06
226.626,2.26135e+06,2.54478e+06
226.647,2.26136e+06,2.54478e+06
226.667,2.26136e+06,2.5448e+06
226.687,2.26137e+06,2.5448e+06
226.707,2.26136e+06,2.54478e+06
226.727,2.26136e+06,2.54476e+06
226.747,2.26136e+06,2.54476e+06
226.766,2.26137e+06,2.54474e+06
226.788,2.26138e+06,2.54475e+06
226.808,2.26135e+06,2.5447e+06
226.828,2.2613e+06,2.54459e+06
226.848,2.26117e+06,2.54442e+06
226.868,2.26108e+06,2.54426e+06
226.888,2.26116e+06,2.54438e+06
226.908,2.26126e+06,2.54451e+06
226.928,2.26133e+06,2.54458e+06
226.948,2.26133e+06,2.54455e+06
226.968,2.26139e+06,2.54458e+06
226.989,2.26147e+06,2.5447e+06
227.009,2.26155e+06,2.54481e+06
227.029,2.2616e+06,2.54489e+06
227.049,2.26163e+06,2.54493e+06
227.068,2.26162e+06,2.54493e+06
227.089,2.26157e+06,2.54486e+06
227.109,2.2615e+06,2.54472e+06
227.129,2.26142e+06,2.54458e+06
227.148,2.26137e+06,2.54447e+06
227.168,2.26138e+06,2.54451e+06
227.19,2.26135e+06,2.5446e+06
227.21,2.26122e+06,2.54458e+06
227.23,2.26113e+06,2.54452e+06
227.25,2.2611e+06,2.54449e+06
227.269,2.26112e+06,2.54449e+06
227.29,2.26112e+06,2.5445e+06
227.31,2.26114e+06,2.5445e+06
227.329,2.26117e+06,2.54452e+06
227.35,2.26121e+06,2.54453e+06
227.371,2.26124e+06,2.54459e+06
227.39,2.26127e+06,2.54465e+06
227.411,2.26128e+06,2.5447e+06
227.431,2.26126e+06,2.54471e+06
227.451,2.26125e+06,2.54471e+06
227.471,2.26124e+06,2.54474e+06
227.491,2.26124e+06,2.54474e+06
227.511,2.26124e+06,2.54475e+06
227.53,2.26124e+06,2.54476e+06
227.55,2.26127e+06,2.54479e+06
227.571,2.26129e+06,2.54484e+06
227.592,2.2613e+06,2.54487e+06
227.612,2.26132e+06,2.54491e+06
227.632,2.26133e+06,2.54493e+06
227.652,2.26135e+06,2.54497e+06
227.671,2.26136e+06,2.545e+06
227.691,2.26136e+06,2.54501e+06
227.711,2.26136e+06,2.54502e+06
227.732,2.26138e+06,2.54504e+06
227.753,2.26139e+06,2.54507e+06
227.773,2.26138e+06,2.54508e+06
227.793,2.26138e+06,2.54509e+06
227.812,2.26137e+06,2.54512e+06
227.833,2.26138e+06,2.54512e+06
227.853,2.26139e+06,2.54516e+06
227.873,2.2614e+06,2.54517e+06
227.893,2.26142e+06,2.5452e+06
227.913,2.26141e+06,2.54521e+06
227.934,2.26142e+06,2.54521e+06
227.953,2.26142e+06,2.54522e+06
227.973,2.26142e+06,2.54523e+06
227.994,2.26143e+06,2.54524e+06
228.014,2.26142e+06,2.54524e+06
228.034,2.26144e+06,2.54524e+06
228.054,2.26145e+06,2.54527e+06
228.073,2.26145e+06,2.54526e+06
228.094,2.26143e+06,2.5452e+06
228.113,2.2614e+06,2.5451e+06
228.133,2.2614e+06,2.54503e+06
228.155,2.26139e+06,2.545e+06
228.175,2.2614e+06,2.54498e+06
228.194,2.26139e+06,2.54499e+06
228.214,2.2614e+06,2.545e+06
228.235,2.26141e+06,2.54504e+06
228.254,2.26142e+06,2.54507e+06
228.275,2.26142e+06,2.54509e+06
228.295,2.26141e+06,2.5451e+06
228.315,2.26141e+06,2.54508e+06
228.335,2.26142e+06,2.5451e+06
228.355,2.26142e+06,2.54512e+06
228.375,2.26142e+06,2.54512e+06
228.395,2.26141e+06,2.54512e+06
228.415,2.26142e+06,2.54511e+06
228.436,2.26142e+06,2.54512e+06
228.455,2.26141e+06,2.54511e+06
228.476,2.26141e+06,2.54512e+06
228.495,2.26141e+06,2.54511e+06
228.516,2.26142e+06,2.5451e+06
228.537,2.26142e+06,2.54512e+06
228.556,2.26142e+06,2.54514e+06
228.576,2.26142e+06,2.54515e+06
228.596,2.26141e+06,2.54516e+06
228.617,2.26143e+06,2.54516e+06
228.637,2.26143e+06,2.54519e+06
228.656,2.26143e+06,2.54519e+06
228.676,2.26145e+06,2.54522e+06
228.696,2.26145e+06,2.54522e+06
228.716,2.26147e+06,2.54523e+06
228.738,2.26148e+06,2.54526e+06
228.758,2.26147e+06,2.54526e+06
228.777,2.26147e+06,2.54527e+06
228.797,2.26146e+06,2.54527e+06
228.817,2.26149e+06,2.5453e+06
228.837,2.26149e+06,2.54532e+06
228.857,2.26148e+06,2.54532e+06
228.877,2.26147e+06,2.54531e+06
228.897,2.26148e+06,2.5453e+06
228.918,2.26149e+06,2.54531e+06
228.939,2.26148e+06,2.54533e+06
228.959,2.2615e+06,2.54535e+06
228.978,2.26149e+06,2.54535e+06
228.999,2.26149e+06,2.54532e+06
229.018,2.26148e+06,2.54527e+06
229.038,2.26145e+06,2.54518e+06
229.059,2.26143e+06,2.54512e+06
229.078,2.26142e+06,2.54508e+06
229.098,2.26143e+06,2.54508e+06
229.119,2.26143e+06,2.5451e+06
229.139,2.26143e+06,2.54511e+06
229.159,2.26143e+06,2.54514e+06
229.179,2.26143e+06,2.54516e+06
229.199,2.26144e+06,2.54517e+06
229.219,2.26144e+06,2.5452e+06
229.239,2.26145e+06,2.54522e+06
229.259,2.26146e+06,2.54523e+06
229.279,2.26147e+06,2.54523e+06
229.299,2.26149e+06,2.54525e+06
229.32,2.26148e+06,2.54527e+06
229.34,2.26147e+06,2.54526e+06
229.361,2.26145e+06,2.54524e+06
229.381,2.26145e+06,2.54523e+06
229.401,2.26146e+06,2.54524e+06
229.42,2.26147e+06,2.54526e+06
229.44,2.26147e+06,2.54527e+06
229.461,2.26147e+06,2.54529e+06
229.48,2.26148e+06,2.5453e+06
229.501,2.26149e+06,2.54533e+06
229.522,2.26149e+06,2.54535e+06
229.541,2.26149e+06,2.54535e+06
229.561,2.26148e+06,2.54536e+06
229.581,2.26149e+06,2.54535e+06
229.601,2.26149e+06,2.54539e+06
229.622,2.26149e+06,2.54539e+06
229.641,2.26148e+06,2.54538e+06
229.661,2.26148e+06,2.54538e+06
229.681,2.2615e+06,2.5454e+06
229.703,2.26149e+06,2.54541e+06
229.723,2.26149e+06,2.54541e+06
229.742,2.26149e+06,2.54542e+06
229.762,2.26148e+06,2.54543e+06
229.782,2.26149e+06,2.54544e+06
229.802,2.26149e+06,2.54546e+06
229.823,2.26148e+06,2.54547e+06
229.843,2.26148e+06,2.54548e+06
229.862,2.26149e+06,2.54548e+06
229.883,2.2615e+06,2.54548e+06
229.903,2.26149e+06,2.54548e+06
229.923,2.26149e+06,2.54549e+06
229.943,2.26147e+06,2.54548e+06
229.963,2.26146e+06,2.54541e+06
229.983,2.26144e+06,2.54535e+06
230.003,2.26142e+06,2.54526e+06
230.023,2.2614e+06,2.54519e+06
230.043,2.26138e+06,2.54516e+06
230.063,2.26139e+06,2.54515e+06
230.084,2.2614e+06,2.54518e+06
230.104,2.2614e+06,2.5452e+06
230.124,2.26139e+06,2.54522e+06
230.144,2.26139e+06,2.54524e+06
230.164,2.2614e+06,2.54524e+06
230.184,2.2614e+06,2.54526e+06
230.204,2.2614e+06,2.54526e+06
230.225,2.2614e+06,2.54526e+06
230.244,2.2614e+06,2.54526e+06
230.264,2.2614e+06,2.54528e+06
230.285,2.26139e+06,2.54529e+06
230.306,2.26137e+06,2.54528e+06
230.326,2.26137e+06,2.54527e+06
230.346,2.26137e+06,2.54526e+06
230.365,2.26138e+06,2.54527e+06
230.385,2.26137e+06,2.54528e+06
230.406,2.26138e+06,2.54528e+06
230.426,2.26138e+06,2.54531e+06
230.445,2.26139e+06,2.54531e+06
230.466,2.26138e+06,2.54532e+06
230.487,2.26138e+06,2.54532e+06
230.506,2.26138e+06,2.54533e+06
230.526,2.26137e+06,2.54534e+06
230.546,2.26138e+06,2.54534e+06
230.566,2.26138e+06,2.54534e+06
230.586,2.26138e+06,2.54536e+06
230.606,2.26138e+06,2.54538e+06
230.627,2.26138e+06,2.54538e+06
230.646,2.26139e+06,2.54537e+06
230.667,2.26139e+06,2.54538e+06
230.687,2.26139e+06,2.54539e+06
230.707,2.26138e+06,2.5454e+06
230.727,2.26138e+06,2.54539e+06
230.747,2.26139e+06,2.54538e+06
230.767,2.26139e+06,2.5454e+06
230.788,2.26139e+06,2.5454e+06
230.807,2.26138e+06,2.54541e+06
230.827,2.26138e+06,2.54541e+06
230.848,2.26138e+06,2.54542e+06
230.868,2.26139e+06,2.54544e+06
230.888,2.26139e+06,2.54543e+06
230.908,2.26137e+06,2.54542e+06
230.928,2.26139e+06,2.54543e+06
230.948,2.26139e+06,2.54546e+06
230.968,2.26138e+06,2.54543e+06
230.989,2.26136e+06,2.54535e+06
231.008,2.26134e+06,2.54527e+06
231.029,2.26133e+06,2.5452e+06
231.049,2.26132e+06,2.54515e+06
231.069,2.26131e+06,2.54514e+06
231.089,2.26132e+06,2.54515e+06
231.109,2.26131e+06,2.54515e+06
231.13,2.26132e+06,2.54517e+06
231.15,2.26133e+06,2.5452e+06
231.169,2.26134e+06,2.54523e+06
231.189,2.26133e+06,2.54525e+06
231.209,2.26133e+06,2.54523e+06
231.231,2.26134e+06,2.54525e+06
231.25,2.26134e+06,2.54526e+06
231.27,2.26133e+06,2.54525e+06
231.291,2.26131e+06,2.54525e+06
231.311,2.26132e+06,2.54523e+06
231.33,2.26131e+06,2.54524e+06
231.35,2.26129e+06,2.54522e+06
231.37,2.2613e+06,2.5452e+06
231.39,2.26129e+06,2.54521e+06
231.41,2.2613e+06,2.5452e+06
231.432,2.2613e+06,2.54522e+06
231.451,2.2613e+06,2.54523e+06
231.471,2.26129e+06,2.54525e+06
231.491,2.26129e+06,2.54525e+06
231.511,2.2613e+06,2.54526e+06
231.532,2.2613e+06,2.54529e+06
231.552,2.26131e+06,2.5453e+06
231.571,2.2613e+06,2.5453e+06
231.591,2.2613e+06,2.54529e+06
231.611,2.26132e+06,2.54531e+06
231.633,2.26132e+06,2.54533e+06
231.653,2.26131e+06,2.54533e+06
231.672,2.26131e+06,2.54534e+06
231.692,2.2613e+06,2.54533e+06
231.712,2.26131e+06,2.54535e+06
231.732,2.26131e+06,2.54536e+06
231.753,2.26131e+06,2.54536e+06
231.772,2.2613e+06,2.54536e+06
231.792,2.2613e+06,2.54535e+06
231.814,2.26131e+06,2.54537e+06
231.833,2.2613e+06,2.54538e+06
231.854,2.2613e+06,2.54538e+06
231.873,2.26128e+06,2.54537e+06
231.893,2.26129e+06,2.54536e+06
231.913,2.26131e+06,2.5454e+06
231.934,2.26131e+06,2.5454e+06
231.954,2.2613e+06,2.54539e+06
231.973,2.26129e+06,2.54539e+06
231.993,2.2613e+06,2.54537e+06
232.014,2.26127e+06,2.54531e+06
232.035,2.26124e+06,2.54522e+06
232.054,2.26122e+06,2.54515e+06
232.074,2.26121e+06,2.54511e+06
232.094,2.26122e+06,2.5451e+06
232.114,2.26122e+06,2.54511e+06
232.135,2.26123e+06,2.54514e+06
232.154,2.26123e+06,2.54517e+06
232.174,2.26123e+06,2.54518e+06
232.196,2.26124e+06,2.54519e+06
232.216,2.26124e+06,2.54521e+06
232.236,2.26124e+06,2.54522e+06
232.255,2.26122e+06,2.54521e+06
232.275,2.26123e+06,2.5452e+06
232.295,2.26123e+06,2.54522e+06
232.315,2.26123e+06,2.54523e+06
232.335,2.26123e+06,2.54522e+06
232.355,2.26122e+06,2.54521e+06
232.375,2.26123e+06,2.54521e+06
232.396,2.26124e+06,2.54522e+06
232.416,2.26123e+06,2.54522e+06
232.436,2.26123e+06,2.54522e+06
232.456,2.26122e+06,2.54523e+06
232.476,2.26123e+06,2.54525e+06
232.496,2.26124e+06,2.54527e+06
232.516,2.26124e+06,2.54527e+06
232.537,2.26124e+06,2.54529e+06
232.556,2.26124e+06,2.54528e+06
232.577,2.26125e+06,2.54529e+06
232.597,2.26125e+06,2.54531e+06
232.617,2.26124e+06,2.54532e+06
232.637,2.26124e+06,2.54532e+06
232.657,2.26125e+06,2.54532e+06
232.677,2.26126e+06,2.54534e+06
232.697,2.26126e+06,2.54536e+06
232.717,2.26127e+06,2.54535e+06
232.738,2.26125e+06,2.54536e+06
232.757,2.26126e+06,2.54535e+06
232.778,2.26126e+06,2.54537e+06
232.798,2.26125e+06,2.54538e+06
232.818,2.26125e+06,2.54538e+06
232.839,2.26124e+06,2.54538e+06
232.858,2.26126e+06,2.54537e+06
232.878,2.26126e+06,2.54539e+06
232.898,2.26126e+06,2.5454e+06
232.918,2.26126e+06,2.54541e+06
232.939,2.26126e+06,2.5454e+06
232.958,2.26126e+06,2.54534e+06
232.98,2.26123e+06,2.54527e+06
232.999,2.26121e+06,2.54519e+06
233.02,2.26119e+06,2.54515e+06
233.039,2.26119e+06,2.54513e+06
233.059,2.2612e+06,2.54514e+06
233.079,2.26121e+06,2.54517e+06
233.099,2.2612e+06,2.54518e+06
233.119,2.2612e+06,2.5452e+06
233.139,2.2612e+06,2.5452e+06
233.16,2.26121e+06,2.54523e+06
233.18,2.2612e+06,2.54524e+06
233.2,2.2612e+06,2.54522e+06
233.22,2.2612e+06,2.54524e+06
233.241,2.26121e+06,2.54525e+06
233.26,2.26121e+06,2.54526e+06
233.281,2.2612e+06,2.54526e+06
233.301,2.26119e+06,2.54525e+06
233.321,2.26118e+06,2.54523e+06
233.34,2.2612e+06,2.54522e+06
233.361,2.2612e+06,2.54526e+06
233.382,2.2612e+06,2.54526e+06
233.402,2.2612e+06,2.54526e+06
233.421,2.2612e+06,2.54527e+06
233.441,2.26121e+06,2.54529e+06
233.461,2.26121e+06,2.5453e+06
233.482,2.26121e+06,2.5453e+06
233.501,2.2612e+06,2.54531e+06
233.521,2.26121e+06,2.54531e+06
233.542,2.26122e+06,2.54532e+06
233.563,2.26121e+06,2.54532e+06
233.583,2.26121e+06,2.54533e+06
233.602,2.26121e+06,2.54533e+06
233.622,2.26122e+06,2.54533e+06
233.642,2.26122e+06,2.54535e+06
233.663,2.26122e+06,2.54536e+06
233.683,2.26122e+06,2.54537e+06
233.703,2.26121e+06,2.54537e+06
233.722,2.26122e+06,2.54537e+06
233.743,2.26122e+06,2.54538e+06
233.763,2.2612e+06,2.54538e+06
233.784,2.2612e+06,2.54538e+06
233.804,2.26119e+06,2.54538e+06
233.823,2.2612e+06,2.54538e+06
233.843,2.2612e+06,2.5454e+06
233.863,2.2612e+06,2.54539e+06
233.884,2.2612e+06,2.54539e+06
233.904,2.2612e+06,2.5454e+06
233.923,2.2612e+06,2.54539e+06
233.944,2.26119e+06,2.54533e+06
233.964,2.26116e+06,2.54525e+06
233.985,2.26113e+06,2.54518e+06
234.006,2.26112e+06,2.54511e+06
234.025,2.26113e+06,2.54509e+06
234.044,2.26112e+06,2.5451e+06
234.064,2.26113e+06,2.54512e+06
234.085,2.26112e+06,2.54514e+06
234.105,2.26113e+06,2.54515e+06
234.125,2.26114e+06,2.54519e+06
234.145,2.26113e+06,2.54519e+06
234.165,2.26113e+06,2.54518e+06
234.186,2.26112e+06,2.54518e+06
234.206,2.26113e+06,2.54518e+06
234.225,2.26113e+06,2.54519e+06
234.245,2.26112e+06,2.54519e+06
234.265,2.26111e+06,2.5452e+06
234.285,2.2611e+06,2.54518e+06
234.306,2.26111e+06,2.54516e+06
234.326,2.26111e+06,2.54518e+06
234.346,2.26112e+06,2.54519e+06
234.366,2.26111e+06,2.54518e+06
234.387,2.2611e+06,2.54518e+06
234.406,2.26111e+06,2.54522e+06
234.426,2.2611e+06,2.54523e+06
234.446,2.2611e+06,2.54522e+06
234.467,2.26109e+06,2.54522e+06
234.487,2.26111e+06,2.54522e+06
234.507,2.26111e+06,2.54525e+06
234.527,2.26111e+06,2.54525e+06
234.547,2.2611e+06,2.54526e+06
234.567,2.26109e+06,2.54526e+06
234.588,2.2611e+06,2.54525e+06
234.607,2.2611e+06,2.54528e+06
234.627,2.2611e+06,2.54527e+06
234.647,2.26109e+06,2.54528e+06
234.668,2.2611e+06,2.54528e+06
234.687,2.26111e+06,2.5453e+06
234.708,2.2611e+06,2.5453e+06
234.728,2.2611e+06,2.5453e+06
234.748,2.26109e+06,2.5453e+06
234.768,2.26109e+06,2.54531e+06
234.788,2.26108e+06,2.54532e+06
234.808,2.26109e+06,2.54531e+06
234.828,2.26109e+06,2.54532e+06
234.848,2.26108e+06,2.5453e+06
234.868,2.26109e+06,2.54534e+06
234.89,2.26108e+06,2.54531e+06
234.909,2.26108e+06,2.5453e+06
234.93,2.26109e+06,2.54536e+06
234.949,2.26104e+06,2.54528e+06
234.969,2.26103e+06,2.54516e+06
234.99,2.26103e+06,2.54509e+06
235.009,2.26103e+06,2.54509e+06
235.029,2.261e+06,2.54505e+06
235.049,2.261e+06,2.54501e+06
235.069,2.26102e+06,2.54501e+06
235.09,2.26103e+06,2.54509e+06
235.11,2.26102e+06,2.54511e+06
235.131,2.261e+06,2.54511e+06
235.15,2.26101e+06,2.5451e+06
235.171,2.26103e+06,2.54513e+06
235.19,2.26102e+06,2.54513e+06
235.21,2.26102e+06,2.54512e+06
235.23,2.26101e+06,2.54512e+06
235.25,2.26101e+06,2.54512e+06
235.271,2.26101e+06,2.54513e+06
235.291,2.26099e+06,2.54511e+06
235.311,2.26099e+06,2.5451e+06
235.331,2.26098e+06,2.5451e+06
235.351,2.261e+06,2.5451e+06
235.372,2.261e+06,2.54512e+06
235.391,2.261e+06,2.54512e+06
235.411,2.26101e+06,2.54513e+06
235.431,2.26101e+06,2.54514e+06
235.451,2.26102e+06,2.54516e+06
235.472,2.26102e+06,2.54517e+06
235.492,2.26102e+06,2.54518e+06
235.513,2.26101e+06,2.54519e+06
235.533,2.26101e+06,2.54518e+06
235.552,2.26101e+06,2.54519e+06
235.573,2.26101e+06,2.5452e+06
235.592,2.26101e+06,2.54521e+06
235.613,2.26102e+06,2.54522e+06
235.633,2.26102e+06,2.54521e+06
235.654,2.26102e+06,2.54522e+06
235.673,2.26102e+06,2.54524e+06
235.693,2.261e+06,2.54524e+06
